d---r----- proxy/tape        0 unit1exercise2/aufgehunds/angegehheit/
d---r-xr-- news/audio        0 unit1exercise2/aufsitzt/enkaesst/aufhaltse/
d---rw-rwx student/voice     0 unit1exercise2/aufpflumkeit/
d---rwx--x lp/audio          0 unit1exercise2/anhalttest/versitzse/ausgetraukeit/
d--x--xrw- games/fax         0 unit1exercise2/ausgekaesen/
d--xrw-rw- news/audio        0 unit1exercise2/auffahrer/
d-w---x-w- games/voice       0 unit1exercise2/anhalttest/
d-w-rwx--- nobody/dip        0 unit1exercise2/aufgehunds/gehaltung/
d-wx--xr-x uucp/uucp         0 unit1exercise2/besetzt/
d-wx-wx--x uucp/proxy        0 unit1exercise2/anhalttest/versitzse/
d-wxr--rwx proxy/mail        0 unit1exercise2/aufsitzt/enkaesst/
d-wxrwxr-- student/student   0 unit1exercise2/aufgehunds/gehaltung/verrabarben/
d-wxrwxr-x lp/dip            0 unit1exercise2/aufgehunds/gehaltung/ansitzheit/
dr--r-x--x nobody/dip        0 unit1exercise2/anhalttest/versitzse/ansprachen/
dr-x------ nobody/fax        0 unit1exercise2/aufsitzt/
dr-xrw-r-- games/uucp        0 unit1exercise2/aufgehunds/angegehheit/angehaltte/
drw--w--w- news/proxy        0 unit1exercise2/aufgehunds/
drw--wx-w- games/proxy       0 unit1exercise2/aufgehunds/angegehheit/angeklettte/
drw-rw-rw- nobody/floppy     0 unit1exercise2/aussinnung/
drw-rwx-w- games/voice       0 unit1exercise2/aufsitzt/enwitzt/
drwxrwxr-x student/student   0 unit1exercise2/
