d-----x-w- lp/audio          0 unit1exercise3/aufwarfer/
d--S---r-- news/proxy        0 unit1exercise3/auskatzekeit/
d--Sr-x-wx student/proxy     0 unit1exercise3/einpflumtest/gesetzung/einsinnung/
d--s----wx uucp/student      0 unit1exercise3/ankaest/enstehte/anhunden/
d-ws---r-- lp/voice          0 unit1exercise3/aufgegeher/angestehen/
d-ws--x--- uucp/proxy        0 unit1exercise3/einsitzung/
d-wsrwxr-x games/uucp        0 unit1exercise3/gekraut/belaufkeit/ausklettkeit/
d-wx-w--w- news/cdrom        0 unit1exercise3/gekraut/belaufkeit/
dr--r-xr-x news/mail         0 unit1exercise3/einpflumtest/
dr-S---r-x lp/floppy         0 unit1exercise3/aufgegeher/angestehen/aufgekrause/
dr-x-w---- games/student     0 unit1exercise3/ankaest/
dr-xrwx--- proxy/proxy       0 unit1exercise3/ankaesheit/
dr-xrwxr-- student/cdrom     0 unit1exercise3/gekraut/belaufkeit/aufgerenner/
drw-r-xr-- nobody/news       0 unit1exercise3/gekraut/
drwSr-x-wx proxy/uucp        0 unit1exercise3/ankaest/enstehte/
drws-----x games/proxy       0 unit1exercise3/einpflumtest/gesetzung/aufwitzs/
drwx-w--wx lp/fax            0 unit1exercise3/gekraut/belaufkeit/angesinnse/
drwx-wxr-- nobody/proxy      0 unit1exercise3/einpflumtest/gesetzung/
drwxr----x student/tape      0 unit1exercise3/gekraut/ausgewarfer/
drwxr--r-- uucp/floppy       0 unit1exercise3/aufgegeher/
drwxrwxr-x student/student   0 unit1exercise3/
