d----wx-wx student/audio     0 unit1exercise4/ausgesitzung/
d---r-xrwx student/proxy     0 unit1exercise4/enkatzetest/gekrause/
d--x-wxr-- student/uucp      0 unit1exercise4/getrittt/
d--xr-sr-x student/fax       0 unit1exercise4/ausgestehtest/
d-w-r----- student/student   0 unit1exercise4/einklettung/enlauftete/enpflumst/
d-w-r-sr-x student/fax       0 unit1exercise4/ausgestehtest/angehalttete/enraucht/
d-wx--srw- student/voice     0 unit1exercise4/einklettung/angewitztete/anschmeckse/
d-wxr-srw- student/floppy    0 unit1exercise4/verrennt/verrauchst/
d-wxr-xrw- student/proxy     0 unit1exercise4/einklettung/angewitztete/zerrauchkeit/
d-wxrws-w- student/cdrom     0 unit1exercise4/einklettung/enlauftete/
d-wxrwxr-- student/dip       0 unit1exercise4/verrennt/
dr-----rwx student/cdrom     0 unit1exercise4/verrennt/verrauchst/versinnung/
dr----x-wx student/student   0 unit1exercise4/verrennt/verrauchst/angekaeser/
dr-x--Sr-- student/fax       0 unit1exercise4/enkatzetest/
drw---sr-x student/cdrom     0 unit1exercise4/ausgestehtest/angehalttete/
drw--wSrwx student/floppy    0 unit1exercise4/verrennt/verrauchst/angetrause/
drw-r-s-w- student/uucp      0 unit1exercise4/einklettung/
drw-rws--x student/cdrom     0 unit1exercise4/zerraucht/
drwx-wS--- student/mail      0 unit1exercise4/einklettung/angewitztete/
drwxr-S--x student/proxy     0 unit1exercise4/ausgekraukeit/
drwxrwxr-x student/student   0 unit1exercise4/
